epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2799.54,0.88925,0.45183,0.94177,0.93639,0.76392,0.8166,0.60557,1.07106,0.60509,0.95776,0.000703961,0.000703961,0.000703961
43,2865.31,0.89969,0.44907,0.94197,0.96793,0.76105,0.82878,0.61199,1.06459,0.55966,0.94609,0.000686277,0.000686277,0.000686277
44,2931.33,0.8834,0.45209,0.93954,0.94459,0.77546,0.82245,0.6045,1.07946,0.56434,0.94456,0.000668593,0.000668593,0.000668593
45,3001.53,0.89214,0.45567,0.94396,0.9552,0.76408,0.82064,0.60545,1.07924,0.55547,0.93884,0.000650909,0.000650909,0.000650909
46,3065.73,0.86982,0.43932,0.93647,0.95014,0.77405,0.82973,0.61572,1.06735,0.54925,0.93823,0.000633226,0.000633226,0.000633226
47,3132.24,0.88813,0.45802,0.9411,0.93345,0.77916,0.82655,0.6143,1.06919,0.55334,0.94297,0.000615542,0.000615542,0.000615542
48,3197.87,0.89094,0.44966,0.94158,0.94334,0.77689,0.82667,0.61624,1.07014,0.54999,0.9411,0.000597858,0.000597858,0.000597858
49,3267.07,0.87067,0.44182,0.93669,0.95642,0.76369,0.8215,0.61037,1.06786,0.56479,0.94834,0.000580174,0.000580174,0.000580174
50,3330.4,0.87388,0.43703,0.93218,0.94768,0.77909,0.8286,0.62012,1.04996,0.54329,0.94234,0.00056249,0.00056249,0.00056249
51,3397.92,0.87738,0.43796,0.9391,0.93836,0.78454,0.82618,0.61204,1.06854,0.55142,0.94267,0.000544806,0.000544806,0.000544806
52,3467.93,0.87427,0.44024,0.93817,0.96064,0.77221,0.83051,0.61779,1.05498,0.53343,0.94306,0.000527122,0.000527122,0.000527122
53,3532.56,0.86794,0.43109,0.93577,0.96315,0.76275,0.82876,0.62338,1.04009,0.5422,0.93855,0.000509438,0.000509438,0.000509438
54,3597.37,0.87558,0.43148,0.93985,0.94117,0.78064,0.82917,0.62017,1.06422,0.55033,0.93544,0.000491755,0.000491755,0.000491755
55,3665.72,0.85808,0.427,0.93337,0.94984,0.77709,0.83248,0.62423,1.04724,0.53705,0.93896,0.000474071,0.000474071,0.000474071
56,3729.57,0.8511,0.42449,0.92864,0.94002,0.77731,0.82626,0.61479,1.04486,0.53905,0.93614,0.000456387,0.000456387,0.000456387
57,3795.5,0.85089,0.42098,0.93022,0.94806,0.77535,0.83192,0.62404,1.04819,0.52771,0.93071,0.000438703,0.000438703,0.000438703
58,3868.96,0.85436,0.42477,0.93317,0.93957,0.77633,0.83383,0.62697,1.03901,0.5372,0.92882,0.000421019,0.000421019,0.000421019
59,3941.78,0.84842,0.42136,0.9282,0.94015,0.77489,0.82445,0.62101,1.04567,0.57049,0.93315,0.000403335,0.000403335,0.000403335
60,4013.29,0.83504,0.40581,0.92544,0.94944,0.78281,0.83526,0.62723,1.03686,0.52449,0.92706,0.000385651,0.000385651,0.000385651
61,4081.56,0.83539,0.40953,0.92192,0.95595,0.77179,0.83223,0.62299,1.03818,0.53447,0.92731,0.000367967,0.000367967,0.000367967
62,4153.95,0.84943,0.41572,0.92898,0.93755,0.78782,0.83141,0.62627,1.02618,0.53034,0.92422,0.000350284,0.000350284,0.000350284
63,4221.56,0.83939,0.41378,0.92898,0.96778,0.7641,0.82927,0.62661,1.03052,0.53155,0.92853,0.0003326,0.0003326,0.0003326
64,4287.63,0.83805,0.41488,0.92165,0.9431,0.78165,0.83817,0.63474,1.03556,0.53117,0.92725,0.000314916,0.000314916,0.000314916
65,4353.52,0.82896,0.40608,0.92624,0.96144,0.76604,0.83146,0.62873,1.03217,0.5226,0.92684,0.000297232,0.000297232,0.000297232
66,4417.41,0.8289,0.40347,0.93123,0.94506,0.78267,0.83493,0.63356,1.02483,0.51562,0.92355,0.000279548,0.000279548,0.000279548
67,4480.64,0.82535,0.39707,0.92611,0.95837,0.77291,0.83402,0.63101,1.03375,0.5144,0.92587,0.000261864,0.000261864,0.000261864
68,4542.22,0.82403,0.40185,0.92052,0.94884,0.77825,0.8341,0.63065,1.03249,0.51143,0.92873,0.00024418,0.00024418,0.00024418
69,4606.35,0.81758,0.39254,0.91844,0.94388,0.78937,0.83399,0.63085,1.02986,0.50967,0.92244,0.000226497,0.000226497,0.000226497
