epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,679.395,1.06612,0.64182,1.10929,0.96913,0.94605,0.98011,0.65311,1.17432,0.49255,1.05487,0.000703961,0.000703961,0.000703961
43,695.457,1.06289,0.6381,1.09917,0.95905,0.94263,0.98354,0.67224,1.11692,0.48626,1.0264,0.000686277,0.000686277,0.000686277
44,711.48,1.03856,0.63385,1.10472,0.94454,0.94331,0.97899,0.55774,1.50536,0.56168,1.2406,0.000668593,0.000668593,0.000668593
45,727.554,1.04225,0.63366,1.09984,0.96454,0.93304,0.9818,0.63827,1.24984,0.49529,1.09825,0.000650909,0.000650909,0.000650909
46,743.543,1.04288,0.63346,1.09575,0.95771,0.9265,0.98045,0.63495,1.2882,0.5177,1.13903,0.000633226,0.000633226,0.000633226
47,759.672,1.03149,0.61918,1.08864,0.96646,0.95629,0.98606,0.58309,1.45258,0.53353,1.22348,0.000615542,0.000615542,0.000615542
48,775.739,1.02947,0.62459,1.09357,0.97499,0.93602,0.98301,0.64282,1.21603,0.48792,1.08573,0.000597858,0.000597858,0.000597858
49,791.832,1.01519,0.61571,1.08664,0.98581,0.93439,0.973,0.59107,1.38671,0.5352,1.19389,0.000580174,0.000580174,0.000580174
50,807.531,1.01081,0.59612,1.08266,0.97518,0.93158,0.97619,0.62601,1.24039,0.50232,1.07086,0.00056249,0.00056249,0.00056249
51,823.459,1.00396,0.59498,1.07853,0.92718,0.95055,0.97263,0.64677,1.15942,0.48362,1.06061,0.000544806,0.000544806,0.000544806
52,839.207,1.01456,0.61868,1.09257,0.9711,0.93606,0.97819,0.60598,1.33752,0.53095,1.13267,0.000527122,0.000527122,0.000527122
53,855.131,0.9954,0.61465,1.07339,0.96142,0.92782,0.98075,0.65058,1.1878,0.49539,1.05988,0.000509438,0.000509438,0.000509438
