                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.62029,                 0.4135,                0.91562,                0.94644,                0.93116,                0.97017,                0.72595,                0.98456,                0.41268,                0.98705,                0.00769,                0.00769,                0.00769
                     37,                0.61917,                0.41671,                0.91471,                0.95557,                0.92073,                0.97216,                0.73347,                0.97266,                0.40879,                0.98327,               0.007624,               0.007624,               0.007624
                     38,                0.61311,                0.40756,                0.91183,                0.94245,                0.93869,                0.97122,                0.73227,                0.96916,                0.40766,                0.98034,               0.007558,               0.007558,               0.007558
                     39,                0.61436,                0.40777,                0.91129,                0.94372,                0.93877,                0.97237,                 0.7343,                0.96632,                0.40884,                0.98034,               0.007492,               0.007492,               0.007492
                     40,                0.60901,                0.40812,                0.90833,                  0.946,                0.93781,                0.97237,                 0.7339,                0.96545,                0.40609,                 0.9808,               0.007426,               0.007426,               0.007426
                     41,                0.61075,                 0.4074,                0.90962,                0.94322,                0.94121,                0.97255,                0.73479,                0.96122,                0.40577,                0.97925,                0.00736,                0.00736,                0.00736
                     42,                0.60585,                0.39884,                0.90724,                0.95619,                0.92377,                0.97259,                0.73505,                 0.9524,                0.40486,                  0.976,               0.007294,               0.007294,               0.007294
                     43,                 0.6082,                0.39886,                0.90998,                 0.9458,                0.93506,                0.97208,                0.73776,                0.94855,                0.40261,                0.97492,               0.007228,               0.007228,               0.007228
                     44,                0.60527,                0.39728,                0.90886,                0.94442,                0.93819,                 0.9723,                0.73906,                0.94511,                0.39952,                0.97504,               0.007162,               0.007162,               0.007162
                     45,                0.59846,                0.39692,                0.90661,                0.94101,                0.94039,                0.97333,                0.74198,                0.94371,                0.39895,                0.97398,               0.007096,               0.007096,               0.007096
                     46,                 0.5931,                 0.3955,                 0.9071,                0.94196,                0.93857,                0.97317,                0.74216,                 0.9406,                0.39785,                0.97325,                0.00703,                0.00703,                0.00703
                     47,                0.59706,                0.39201,                0.90605,                0.94508,                  0.934,                0.97267,                0.74332,                0.93979,                0.39586,                0.97249,               0.006964,               0.006964,               0.006964
                     48,                0.59531,                0.39202,                0.90526,                0.95363,                0.92523,                0.97337,                0.74477,                0.93608,                0.39253,                0.97091,               0.006898,               0.006898,               0.006898
                     49,                0.59369,                0.38455,                0.90589,                 0.9525,                0.92644,                0.97359,                0.74641,                0.93567,                0.39147,                0.97039,               0.006832,               0.006832,               0.006832
                     50,                0.58753,                0.38573,                0.90433,                0.94061,                0.94212,                0.97405,                0.74754,                0.93147,                0.39005,                0.96876,               0.006766,               0.006766,               0.006766
                     51,                0.58645,                0.38104,                 0.9008,                0.93976,                0.94387,                0.97361,                0.74869,                0.93046,                0.39107,                0.96818,                 0.0067,                 0.0067,                 0.0067
                     52,                0.58955,                0.38206,                0.90598,                0.95156,                0.93234,                0.97365,                0.74848,                0.92941,                0.39054,                0.96768,               0.006634,               0.006634,               0.006634
                     53,                0.58504,                0.38045,                 0.9004,                0.94877,                0.93444,                0.97351,                 0.7479,                0.92881,                0.38973,                0.96769,               0.006568,               0.006568,               0.006568
                     54,                0.58258,                0.37671,                0.89869,                0.95233,                0.93064,                0.97334,                0.74854,                0.92795,                0.38833,                0.96722,               0.006502,               0.006502,               0.006502
                     55,                0.58023,                0.37966,                0.90019,                0.95107,                0.93184,                0.97335,                0.74818,                 0.9262,                0.38717,                0.96645,               0.006436,               0.006436,               0.006436
                     56,                 0.5859,                0.37671,                0.90203,                0.94927,                0.93165,                0.97318,                0.74902,                0.92543,                0.38599,                 0.9662,                0.00637,                0.00637,                0.00637
                     57,                 0.5849,                 0.3792,                0.90232,                0.94483,                0.93767,                 0.9737,                0.74922,                0.92425,                0.38612,                0.96602,               0.006304,               0.006304,               0.006304
                     58,                0.57937,                0.37333,                0.90135,                0.93807,                0.94218,                0.97385,                0.74911,                0.92291,                0.38569,                0.96577,               0.006238,               0.006238,               0.006238
                     59,                0.57729,                0.36961,                 0.8969,                0.95551,                0.92666,                0.97387,                0.75096,                0.92139,                0.38568,                0.96527,               0.006172,               0.006172,               0.006172
                     60,                0.56736,                0.36536,                0.89393,                0.95539,                0.92524,                0.97356,                 0.7516,                0.92053,                0.38474,                 0.9648,               0.006106,               0.006106,               0.006106
                     61,                0.57596,                 0.3668,                0.89819,                0.94596,                0.93646,                0.97366,                0.75143,                0.91932,                0.38406,                 0.9646,                0.00604,                0.00604,                0.00604
                     62,                0.56699,                0.36767,                 0.8948,                0.94575,                0.93834,                0.97444,                0.75166,                0.91822,                0.38335,                0.96437,               0.005974,               0.005974,               0.005974
                     63,                0.57403,                0.36904,                0.89887,                0.94467,                0.93871,                0.97372,                0.75136,                0.91754,                0.38234,                0.96409,               0.005908,               0.005908,               0.005908
                     64,                0.56173,                0.36219,                0.89439,                0.94506,                0.93829,                0.97457,                0.75237,                0.91639,                0.38152,                0.96359,               0.005842,               0.005842,               0.005842
                     65,                0.55904,                0.36047,                0.89045,                0.94471,                0.93912,                0.97449,                 0.7526,                0.91555,                 0.3812,                0.96339,               0.005776,               0.005776,               0.005776
                     66,                0.56301,                0.35513,                0.89128,                0.94469,                0.93891,                0.97435,                0.75287,                0.91362,                 0.3799,                0.96286,                0.00571,                0.00571,                0.00571
                     67,                0.56223,                0.35753,                 0.8932,                0.93419,                0.94543,                 0.9745,                0.75399,                0.91255,                0.37987,                0.96285,               0.005644,               0.005644,               0.005644
                     68,                 0.5623,                0.35655,                0.89568,                0.93442,                0.94835,                0.97445,                0.75473,                0.91205,                0.37998,                0.96257,               0.005578,               0.005578,               0.005578
                     69,                0.55329,                0.35204,                0.89068,                 0.9345,                0.94842,                0.97436,                0.75517,                0.91117,                0.37963,                0.96233,               0.005512,               0.005512,               0.005512
                     70,                0.55571,                0.35376,                0.89205,                0.93748,                0.94688,                0.97346,                0.75458,                0.90995,                0.37916,                0.96197,               0.005446,               0.005446,               0.005446
                     71,                0.55701,                 0.3508,                0.89212,                0.93775,                0.94608,                0.97332,                0.75432,                0.90914,                0.37892,                0.96178,                0.00538,                0.00538,                0.00538
                     72,                0.55841,                0.35198,                0.89256,                0.93824,                0.94408,                0.97403,                0.75496,                0.90836,                0.37831,                0.96157,               0.005314,               0.005314,               0.005314
                     73,                0.55321,                0.34825,                0.89047,                0.93859,                 0.9439,                0.97411,                0.75487,                 0.9072,                0.37818,                0.96122,               0.005248,               0.005248,               0.005248
                     74,                0.55283,                0.34854,                0.88946,                0.93903,                 0.9434,                0.97376,                0.75516,                0.90646,                  0.378,                0.96106,               0.005182,               0.005182,               0.005182
                     75,                0.54308,                0.34311,                0.88748,                0.93994,                 0.9455,                0.97376,                0.75539,                0.90528,                 0.3779,                0.96059,               0.005116,               0.005116,               0.005116
                     76,                0.55272,                0.34469,                0.88979,                0.94015,                0.94506,                0.97374,                0.75595,                0.90462,                0.37777,                0.96032,                0.00505,                0.00505,                0.00505
                     77,                0.54699,                0.34445,                0.89311,                0.94049,                0.94401,                0.97382,                0.75634,                0.90378,                0.37758,                0.96024,               0.004984,               0.004984,               0.004984
                     78,                0.54175,                0.33925,                0.88829,                0.94298,                0.94108,                0.97375,                0.75627,                0.90304,                0.37725,                0.96003,               0.004918,               0.004918,               0.004918
                     79,                0.54136,                0.33788,                0.88692,                 0.9404,                0.94215,                0.97366,                0.75582,                0.90226,                0.37718,                 0.9597,               0.004852,               0.004852,               0.004852
                     80,                0.54325,                 0.3411,                0.88834,                0.93991,                0.94313,                0.97383,                0.75634,                0.90175,                0.37684,                0.95951,               0.004786,               0.004786,               0.004786
                     81,                0.54402,                 0.3369,                0.88782,                0.93984,                0.94376,                0.97381,                 0.7569,                0.90047,                0.37693,                0.95922,                0.00472,                0.00472,                0.00472
                     82,                0.53761,                0.33607,                 0.8859,                0.93912,                0.94737,                0.97358,                0.75724,                0.89932,                0.37675,                0.95895,               0.004654,               0.004654,               0.004654
