epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1957.99,0.45222,0.53692,0.90569,0.95643,0.91033,0.95019,0.86352,0.4771,0.34526,0.83884,0.000307891,0.000307891,0.000307891
43,2005.03,0.44265,0.5016,0.90533,0.96202,0.89852,0.95373,0.85953,0.48014,0.34833,0.83879,0.000300156,0.000300156,0.000300156
44,2050.83,0.44175,0.5122,0.90078,0.97144,0.90217,0.95663,0.86463,0.47923,0.34424,0.83912,0.000292422,0.000292422,0.000292422
45,2096.03,0.44184,0.51988,0.9011,0.96106,0.90228,0.95196,0.86159,0.47146,0.33679,0.83836,0.000284688,0.000284688,0.000284688
46,2142.63,0.44491,0.51167,0.90403,0.95655,0.91028,0.95217,0.86023,0.48127,0.33809,0.8379,0.000276953,0.000276953,0.000276953
47,2189.81,0.43873,0.50702,0.90447,0.97916,0.87855,0.94955,0.85881,0.47364,0.36546,0.83715,0.000269219,0.000269219,0.000269219
48,2234.41,0.4422,0.51177,0.90323,0.9694,0.89653,0.94919,0.85923,0.47453,0.34739,0.83647,0.000261484,0.000261484,0.000261484
49,2281.57,0.43746,0.50367,0.90176,0.96374,0.90712,0.95138,0.86123,0.47056,0.33957,0.83509,0.00025375,0.00025375,0.00025375
50,2328.57,0.43086,0.49595,0.9018,0.95403,0.91111,0.9511,0.86068,0.47143,0.3279,0.83457,0.000246016,0.000246016,0.000246016
51,2373.13,0.43492,0.48538,0.90179,0.96692,0.91143,0.94893,0.85871,0.47191,0.33743,0.83579,0.000238281,0.000238281,0.000238281
52,2420.12,0.43562,0.48925,0.90009,0.95831,0.90516,0.94877,0.86039,0.47693,0.33451,0.83634,0.000230547,0.000230547,0.000230547
53,2467.26,0.43537,0.48019,0.89839,0.95944,0.91667,0.95023,0.85947,0.47196,0.32797,0.83705,0.000222813,0.000222813,0.000222813
54,2512.86,0.43627,0.49752,0.90081,0.96978,0.90935,0.95325,0.86401,0.47827,0.32936,0.83765,0.000215078,0.000215078,0.000215078
55,2558.31,0.43869,0.49619,0.90405,0.94655,0.91334,0.95042,0.86448,0.4607,0.33728,0.83461,0.000207344,0.000207344,0.000207344
56,2606.98,0.42367,0.46948,0.90048,0.9665,0.91647,0.95634,0.86906,0.46654,0.30831,0.83485,0.000199609,0.000199609,0.000199609
57,2654.43,0.43238,0.47535,0.8992,0.97545,0.90664,0.95518,0.86868,0.47082,0.32367,0.83606,0.000191875,0.000191875,0.000191875
58,2698.89,0.4304,0.4787,0.9002,0.96841,0.9161,0.95219,0.8618,0.47272,0.32906,0.83512,0.000184141,0.000184141,0.000184141
59,2746.61,0.42674,0.47073,0.89774,0.97862,0.90756,0.9537,0.86478,0.4673,0.3278,0.83668,0.000176406,0.000176406,0.000176406
60,2794.55,0.42243,0.47287,0.89805,0.95985,0.91319,0.95071,0.86702,0.46134,0.33615,0.83589,0.000168672,0.000168672,0.000168672
61,2839.68,0.41782,0.4593,0.89892,0.95768,0.90724,0.95059,0.86238,0.4724,0.34296,0.83428,0.000160938,0.000160938,0.000160938
62,2887.67,0.41771,0.45675,0.90225,0.97395,0.90897,0.95242,0.86405,0.46548,0.3239,0.83416,0.000153203,0.000153203,0.000153203
63,2934.75,0.41892,0.46628,0.89904,0.97376,0.90557,0.95375,0.8675,0.4695,0.32042,0.83466,0.000145469,0.000145469,0.000145469
64,2980.38,0.42005,0.45075,0.89715,0.98498,0.89881,0.95175,0.86702,0.47256,0.31668,0.83414,0.000137734,0.000137734,0.000137734
65,3026.28,0.41568,0.44277,0.8992,0.96066,0.91827,0.95187,0.8669,0.47202,0.32144,0.83521,0.00013,0.00013,0.00013
66,3074.36,0.41532,0.45882,0.89705,0.96631,0.90909,0.95337,0.86889,0.47583,0.32206,0.83538,0.000122266,0.000122266,0.000122266
67,3120.34,0.41403,0.44307,0.89586,0.96986,0.91258,0.95194,0.86513,0.47652,0.3277,0.83623,0.000114531,0.000114531,0.000114531
68,3164.63,0.41667,0.44878,0.89833,0.97753,0.90623,0.9533,0.86513,0.47208,0.32226,0.835,0.000106797,0.000106797,0.000106797
69,3211.83,0.41847,0.44262,0.89738,0.97786,0.9116,0.95345,0.86442,0.47121,0.31933,0.83522,9.90625e-05,9.90625e-05,9.90625e-05
70,3259.48,0.41244,0.43527,0.89627,0.98256,0.90707,0.95475,0.86606,0.47433,0.31813,0.83594,9.13281e-05,9.13281e-05,9.13281e-05
71,3304.45,0.37357,0.22496,0.84169,0.95488,0.9178,0.95004,0.86307,0.47198,0.32027,0.83598,8.35938e-05,8.35938e-05,8.35938e-05
72,3350.3,0.37191,0.22544,0.84657,0.97588,0.91305,0.95112,0.86594,0.46663,0.31585,0.83588,7.58594e-05,7.58594e-05,7.58594e-05
73,3394.71,0.36866,0.22169,0.8404,0.95837,0.91452,0.94909,0.8603,0.4653,0.32172,0.83507,6.8125e-05,6.8125e-05,6.8125e-05
74,3438.98,0.36946,0.21894,0.83773,0.96814,0.91567,0.95027,0.86082,0.46868,0.32066,0.83572,6.03906e-05,6.03906e-05,6.03906e-05
75,3484.75,0.36782,0.22126,0.83989,0.98558,0.89415,0.95012,0.86492,0.46696,0.31654,0.83533,5.26562e-05,5.26562e-05,5.26562e-05
76,3528.6,0.36584,0.21486,0.83834,0.97911,0.90017,0.94998,0.86562,0.46459,0.31333,0.83514,4.49219e-05,4.49219e-05,4.49219e-05
77,3574.69,0.36115,0.21002,0.84186,0.97297,0.90521,0.95107,0.8665,0.46455,0.31332,0.83464,3.71875e-05,3.71875e-05,3.71875e-05
78,3619.24,0.35765,0.20581,0.83893,0.97795,0.91369,0.95114,0.86518,0.46569,0.30783,0.8352,2.94531e-05,2.94531e-05,2.94531e-05
79,3664.69,0.36165,0.20875,0.83844,0.97552,0.91528,0.95138,0.86353,0.46674,0.30848,0.83461,2.17188e-05,2.17188e-05,2.17188e-05
80,3710.36,0.35693,0.21043,0.83541,0.97616,0.91198,0.95136,0.86602,0.46757,0.31029,0.83476,1.39844e-05,1.39844e-05,1.39844e-05
